Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53414230,Open Water,Caleb Azumah Nelson,"Nelson, Caleb Azumah",,"=""0241448778""","=""9780241448779""",5,4.09,VIKIN,Hardcover,145,2021,2021,2022/03/08,2022/03/01,,,read,"This book has been my favorite read of the year so far! Beautifully written, this book is literally a work art. A love story which gives so much more than just that. Written from the perspective of a young black man, the reader gets an insight into his psyche, exploring themes of masculinity, emotional vulnerability and racism.",,,1,0
210544,On Beauty,Zadie Smith,"Smith, Zadie",,"=""014101945X""","=""9780141019451""",0,3.76,Penguin,Paperback,446,2006,2005,,2022/03/06,to-read,to-read (#130),to-read,,,,0,0
58447631,What Passes as Love,Trisha R. Thomas,"Thomas, Trisha R.",,"=""""","=""""",5,3.98,Lake Union Publishing,Kindle Edition,325,2021,2021,2022/03/06,2021/12/20,,,read,,,,1,0
59571699,Love on the Brain,Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",0,3.95,Sphere,Kindle Edition,368,2022,2022,,2022/03/04,to-read,to-read (#129),to-read,,,,0,0
18770267,Make It Stick: The Science of Successful Learning,Peter C. Brown,"Brown, Peter C.","Henry L. Roediger III, Mark A. McDaniel","=""0674729013""","=""9780674729018""",0,4.16,Belknap Press: An Imprint of Harvard University Press,Hardcover,313,2014,2014,,2022/03/02,to-read,to-read (#128),to-read,,,,0,0
44654627,"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus,"McManus, Karen M.",,"=""0525707964""","=""9780525707967""",5,3.94,Delacorte Press for Young Readers,Hardcover,377,2020,2020,2022/03/01,2022/02/25,,,read,,,,1,0
13525945,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"Newport, Cal",,"=""1455509108""","=""9781455509102""",0,4.08,Business Plus,ebook,288,2012,2012,,2022/03/01,to-read,to-read (#127),to-read,,,,0,0
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,"=""""","=""""",0,4.06,Portfolio,Kindle Edition,302,2019,2019,,2022/03/01,to-read,to-read (#126),to-read,,,,0,0
36208170,Woom,Duncan Ralston,"Ralston, Duncan",Matt Shaw,"=""""","=""""",0,3.36,Shadow Work Publishing,Kindle Edition,131,2017,2016,,2022/02/28,to-read,to-read (#125),to-read,,,,0,0
44526005,"Why Trust Science? (The University Center for Human Values Series, 1)",Naomi Oreskes,"Oreskes, Naomi","Ottmar Edenhofer, Jon Krosnick, M. Susan Lindee, Marc Lange, Martin Kowarsch, Stephen Macedo","=""069117900X""","=""9780691179001""",0,3.92,Princeton University Press,Hardcover,376,2019,2019,,2022/02/01,to-read,to-read (#124),to-read,,,,0,0
23129659,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson PsyD,"PsyD, Lindsay C. Gibson",,"=""1626251703""","=""9781626251700""",0,4.41,New Harbinger Publications,Paperback,203,2015,2015,,2022/02/25,to-read,to-read (#123),to-read,,,,0,0
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",0,4.42,Riverhead Books,Hardcover,372,2007,2007,,2022/02/25,to-read,to-read (#122),to-read,,,,0,0
58679358,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,"McManus, Karen M.",,"=""0593565371""","=""9780593565377""",4,3.96,Delacorte Press,Hardcover,416,2021,2017,2022/02/25,2022/02/24,,,read,3.5,,,1,0
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",3,4.22,Gallery Books,Paperback,288,1998,1936,2022/02/19,2022/01/27,,,read,Some of the ideas were really great (although fairly common) to think about if you want to develop your emotional intelligence but the practical advice was a little contrived and over simplified.,,,1,0
